_id,PARID,FULL_ADDRESS,PROPERTYHOUSENUM,PROPERTYFRACTION,PROPERTYADDRESSDIR,PROPERTYADDRESSSTREET,PROPERTYADDRESSSUF,PROPERTYADDRESSUNITDESC,PROPERTYUNITNO,PROPERTYCITY,PROPERTYSTATE,PROPERTYZIP,SCHOOLCODE,SCHOOLDESC,MUNICODE,MUNIDESC,RECORDDATE,SALEDATE,PRICE,DEEDBOOK,DEEDPAGE,SALECODE,SALEDESC,INSTRTYP,INSTRTYPDESC,latitude,longitude,neighborhood
3186486,0083M00044000000,"611 COLLINS AVE, PITTSBURGH, PA 15206",611, ,,COLLINS,AVE,,,PITTSBURGH,PA,15206,47,Pittsburgh,111,11th Ward - PITTSBURGH,1/7/2025,12/27/2024,712500,19916,366,9,OTHER INVALID SALES INDICATED,DE,DEED,40.466648,-79.919265,East Liberty
3186488,0068N00098000000,"115 FOUNTAIN ST, PITTSBURGH, PA 15205",115, ,,FOUNTAIN,ST,,,PITTSBURGH,PA,15205,7,Carlynton,818,Crafton  ,5/6/2024,4/30/2024,80000,19660,238,35,CORPORATION TRANSFER,DE,DEED,40.459109,-80.001428,Fineview
3186487,0175L00001000000,"0 ROSEDALE ST, PITTSBURGH, PA 15221",0, ,,ROSEDALE,ST,,,PITTSBURGH,PA,15221,47,Pittsburgh,113,13th Ward - PITTSBURGH,5/13/2024,3/6/2024,100,19666,290,GV,GOVERNMENT SALE,QC,QUIT CLAIM,40.449763,-79.887,Homewood South
3186493,0095H00112000000,"2251 BROWNSVILLE RD, PITTSBURGH, PA 15210",2251, ,,BROWNSVILLE,RD,,,PITTSBURGH,PA,15210,47,Pittsburgh,129,29th Ward - PITTSBURGH,5/16/2024,5/2/2024,520000,19670,240,14,TIME ON MARKET (INSUFF/EXCESS),DE,DEED,40.38979,-79.98539,Carrick
3186497,0083C00322000000,"819 N HIGHLAND AVE, PITTSBURGH, PA 15206",819, ,N,HIGHLAND,AVE,,,PITTSBURGH,PA,15206,47,Pittsburgh,111,11th Ward - PITTSBURGH,5/20/2024,5/20/2024,420000,19675,262,9,OTHER INVALID SALES INDICATED,SW,SPECIAL WARRANTY,40.470425,-79.921039,Highland Park
3186504,0052A00183010500,"425 N NEVILLE ST, UNIT 105, PITTSBURGH, PA 15213",425, ,N,NEVILLE,ST,UNIT,105,PITTSBURGH,PA,15213,47,Pittsburgh,107,7th Ward - PITTSBURGH,5/24/2024,5/16/2024,365000,19679,243,0,VALID SALE,DE,DEED,40.450995,-79.9485,Shadyside
3186505,0023J00115000000,"1403 MONTEREY ST, PITTSBURGH, PA 15212",1403, ,,MONTEREY,ST,,,PITTSBURGH,PA,15212,47,Pittsburgh,125,25th Ward - PITTSBURGH,5/22/2024,5/21/2024,465000,19677,438,0,VALID SALE,DE,DEED,40.456673,-80.013576,Central Northside
3186507,0061J00028000000,"652 ELMBANK ST, PITTSBURGH, PA 15226",652, ,,ELMBANK,ST,,,PITTSBURGH,PA,15226,47,Pittsburgh,119,19th Ward - PITTSBURGH,5/22/2024,5/6/2024,167413,19677,513,37,ESTATE SALE,DE,DEED,40.39816,-80.01537,Brookline
3186519,0115N00345000000,"1016 CORNELL ST, PITTSBURGH, PA 15212",1016, ,,CORNELL,ST,,,PITTSBURGH,PA,15212,47,Pittsburgh,127,27th Ward - PITTSBURGH,3/26/2024,3/15/2024,1,19615,230,3,LOVE AND AFFECTION SALE,DE,DEED,40.48388,-80.02977,Brighton Heights
3186518,0174B00059000000,"7259 UPLAND ST, PITTSBURGH, PA 15208",7259, ,,UPLAND,ST,,,PITTSBURGH,PA,15208,47,Pittsburgh,113,13th Ward - PITTSBURGH,3/20/2024,2/26/2024,0,19610,217,3,LOVE AND AFFECTION SALE,DE,DEED,40.461751,-79.892262,Homewood North
