_id,PARID,FULL_ADDRESS,PROPERTYHOUSENUM,PROPERTYFRACTION,PROPERTYADDRESSDIR,PROPERTYADDRESSSTREET,PROPERTYADDRESSSUF,PROPERTYADDRESSUNITDESC,PROPERTYUNITNO,PROPERTYCITY,PROPERTYSTATE,PROPERTYZIP,SCHOOLCODE,SCHOOLDESC,MUNICODE,MUNIDESC,RECORDDATE,SALEDATE,PRICE,DEEDBOOK,DEEDPAGE,SALECODE,SALEDESC,INSTRTYP,INSTRTYPDESC,latitude,longitude
3185128,0220B00015000000,"1308 ANDERSON RD, PITTSBURGH, PA 15209",1308, ,,ANDERSON,RD,,,PITTSBURGH,PA,15209,34,Shaler Area,944,Shaler  ,2024-05-06,2024-05-02,147000.0,19659,106.0,37,ESTATE SALE,DE,DEED,40.48946535,-80.01049375
3185129,0036M00075000000,"1820 YOUNGER AVE, PITTSBURGH, PA 15216",1820, ,,YOUNGER,AVE,,,PITTSBURGH,PA,15216,47,Pittsburgh,120,20th Ward - PITTSBURGH,2024-05-10,2024-04-19,80000.0,19665,377.0,14,TIME ON MARKET (INSUFF/EXCESS),GW,GENERAL WARRANTY,40.408291750000004,-80.03478278819645
3185130,0381P00067000000,"2813 RIVERVIEW ST, MC KEESPORT, PA 15132",2813, ,,RIVERVIEW,ST,,,MC KEESPORT,PA,15132,23,McKeesport Area,407,7th Ward  - McKEESPORT,2024-06-06,2024-05-24,1.0,19694,217.0,3,LOVE AND AFFECTION SALE,SW,SPECIAL WARRANTY,,
3185131,0054E00005000000,"100 BOUNDARY ST, PITTSBURGH, PA 15207",100, ,,BOUNDARY,ST,,,PITTSBURGH,PA,15207,47,Pittsburgh,114,14th Ward - PITTSBURGH,2024-11-04,2024-09-24,1.0,19852,25.0,H,MULTI-PARCEL SALE,DE,DEED,40.428568226689805,-79.94919218873886
3185132,0826K00009000000,"583 CUMBERLAND RD, PITTSBURGH, PA 15237",583, ,,CUMBERLAND,RD,,,PITTSBURGH,PA,15237,27,North Allegheny,927,McCandless  ,2024-06-18,2024-06-12,1.0,19707,237.0,H,MULTI-PARCEL SALE,QC,QUIT CLAIM,,
3185133,0011J00165000A00,"51 VAN BRAAM ST, PITTSBURGH, PA 15219",51, ,,VAN BRAAM,ST,,,PITTSBURGH,PA,15219,47,Pittsburgh,101,1st Ward  - PITTSBURGH,2024-04-02,2024-02-29,46000.0,19624,355.0,GV,GOVERNMENT SALE,TS,TREASURER DEED,40.43733246875,-79.98279463541667
3185134,0826K00054000000,"525 CUMBERLAND RD, PITTSBURGH, PA 15237",525, ,,CUMBERLAND,RD,,,PITTSBURGH,PA,15237,27,North Allegheny,927,McCandless  ,2024-06-18,2024-06-12,1.0,19707,242.0,3,LOVE AND AFFECTION SALE,QC,QUIT CLAIM,,
3185135,0482S00022000000,"740 WHEATLAND CIR, BRIDGEVILLE, PA 15017",740, ,,WHEATLAND,CIR,,,BRIDGEVILLE,PA,15017,36,South Fayette Twp,946,South Fayette  ,2024-06-10,2024-05-29,134900.0,19697,139.0,0,VALID SALE,CO,CORRECTIVE DEED,,
3185136,0970G00216000000,"0 OLD LEECHBURG RD, PITTSBURGH, PA 15239",0, ,,OLD LEECHBURG,RD,,,PITTSBURGH,PA,15239,31,Plum Boro,880,Plum  ,2024-02-16,2024-02-14,1.0,19578,8.0,99,CORRECTIVE DEED / DUPLICATE SALE,CO,CORRECTIVE DEED,,
3185137,0214R00249000000,"405-407 CALIFORNIA AVE, PITTSBURGH, PA 15202",405, -407,,CALIFORNIA,AVE,,,PITTSBURGH,PA,15202,29,Northgate,802,Avalon  ,2024-04-09,2024-04-05,225000.0,19632,160.0,36,QUIT CLAIM,CO,CORRECTIVE DEED,40.48743485,-80.04518594999999
3185138,1670G00195000000,"921 LOGAN RD, TARENTUM, PA 15084",921, ,,LOGAN,RD,,,TARENTUM,PA,15084,12,Deer Lakes,952,West Deer  ,2024-08-02,2024-07-31,1.0,19757,199.0,99,CORRECTIVE DEED / DUPLICATE SALE,CO,CORRECTIVE DEED,,
3185139,1671C00211000000,"108 BESSEMER ST, TARENTUM, PA 15084",108, ,,BESSEMER,ST,,,TARENTUM,PA,15084,12,Deer Lakes,952,West Deer  ,2025-01-07,2024-12-30,105000.0,19915,562.0,99,CORRECTIVE DEED / DUPLICATE SALE,CO,CORRECTIVE DEED,,
3185140,1223L00325000000,"904 BUTLER ST, TARENTUM, PA 15084",904, ,,BUTLER,ST,,,TARENTUM,PA,15084,21,Highlands,855,Tarentum  ,2024-11-07,2024-11-07,250.0,19856,226.0,99,CORRECTIVE DEED / DUPLICATE SALE,CO,CORRECTIVE DEED,40.60337306122449,-79.75776785714285
3185141,2372K00315000000,"2017 HEMLOCK LN, MARS, PA 16046",2017, ,,HEMLOCK,LN,,,MARS,PA,16046,27,North Allegheny,923,Marshall  ,2024-11-21,2024-06-05,425000.0,19694,13.0,0,VALID SALE,DE,DEED,40.671391799999995,-80.09234705
3185142,0039C00020000000,"436 MUELLER AVE, PITTSBURGH, PA 15205",436, ,,MUELLER,AVE,,,PITTSBURGH,PA,15205,7,Carlynton,818,Crafton  ,2024-08-27,2024-07-12,15557.0,19782,201.0,H,MULTI-PARCEL SALE,CO,CORRECTIVE DEED,40.43606531259488,-80.05800206117556
3185143,0022R00167000000,"1100 SHEFFIELD ST, PITTSBURGH, PA 15233",1100, ,,SHEFFIELD,ST,,,PITTSBURGH,PA,15233,47,Pittsburgh,121,21st Ward - PITTSBURGH,2024-05-20,2024-04-30,1.0,19673,482.0,H,MULTI-PARCEL SALE,SW,SPECIAL WARRANTY,40.454082,-80.02117
3185144,0957F00121000000,"15-16 RING ST, RURAL RIDGE, PA 15075",15, -16,,RING,ST,,,RURAL RIDGE,PA,15075,17,Fox Chapel Area,917,Indiana  ,2024-09-12,2024-09-09,198000.0,19798,243.0,0,VALID SALE,DE,DEED,40.58577699724013,-79.8261867600049
3185145,0119S00073000100,"5421 CARNEGIE ST, PITTSBURGH, PA 15201",5421, ,,CARNEGIE,ST,,,PITTSBURGH,PA,15201,47,Pittsburgh,110,10th Ward - PITTSBURGH,2024-09-05,2024-06-17,1.0,19791,277.0,3,LOVE AND AFFECTION SALE,QC,QUIT CLAIM,40.4825684528639,-79.95023741382063
3185146,0190H00307000000,"1312 6TH ST, PITTSBURGH, PA 15234",1312, ,,6TH,ST,,,PITTSBURGH,PA,15234,22,Keystone Oaks,813,Castle Shannon  ,2024-09-05,2024-08-29,245000.0,19791,283.0,0,VALID SALE,DE,DEED,40.44233349374184,-80.00198376387779
3185147,0976L00345000000,"215 SPARTAN DR, MONROEVILLE, PA 15146",215, ,,SPARTAN,DR,,,MONROEVILLE,PA,15146,18,Gateway,879,Monroeville  ,2024-09-06,2024-08-30,216000.0,19793,184.0,0,VALID SALE,DE,DEED,40.445387246789224,-79.74047886861894
3185148,0043A00010000000,"109 CHURCHILL ST, MC KEES ROCKS, PA 15136",109, ,,CHURCHILL,ST,,,MC KEES ROCKS,PA,15136,39,Sto-Rox,842,McKees Rocks  ,2024-09-05,2024-08-27,5000.0,19791,339.0,36,QUIT CLAIM,QC,QUIT CLAIM,40.47196545,-80.06207825000001
3185149,0028A00119000000,"261 DUNSEITH ST, PITTSBURGH, PA 15213",261, ,,DUNSEITH,ST,,,PITTSBURGH,PA,15213,47,Pittsburgh,104,4th Ward - PITTSBURGH,2024-09-12,2024-08-30,250000.0,19798,315.0,14,TIME ON MARKET (INSUFF/EXCESS),DE,DEED,40.442094872352705,-79.96513042615861
3185150,1203F00073000300,"2662 QUAIL RIDGE LN, WEXFORD, PA 15090",2662, ,,QUAIL RIDGE,LN,,,WEXFORD,PA,15090,27,North Allegheny,884,Franklin Park ,2024-09-16,2024-09-11,255000.0,19802,118.0,0,VALID SALE,DE,DEED,,
3185151,0840M00252000000,"108 CAMBRIA HILL DR, TARENTUM, PA 15084",108, ,,CAMBRIA HILL,DR,,,TARENTUM,PA,15084,12,Deer Lakes,907,East Deer  ,2024-09-12,2024-09-10,170000.0,19800,21.0,0,VALID SALE,DE,DEED,,
3185152,0052E00047050200,"540 N NEVILLE ST, UNIT 502, PITTSBURGH, PA 15213",540, ,N,NEVILLE,ST,UNIT,502,PITTSBURGH,PA,15213,47,Pittsburgh,104,4th Ward - PITTSBURGH,2024-09-16,2024-09-11,379000.0,19802,268.0,0,VALID SALE,DE,DEED,,
3185153,0023L00126000000,"0 FEDERAL ST, PITTSBURGH, PA 15212",0, ,,FEDERAL,ST,,,PITTSBURGH,PA,15212,47,Pittsburgh,122,22nd Ward - PITTSBURGH,2024-09-16,2024-08-28,140000.0,19802,281.0,H,MULTI-PARCEL SALE,SW,SPECIAL WARRANTY,40.45505143360631,-80.00657074208898
3185154,0235P00112000000,"2663 WOODSTOCK AVE, PITTSBURGH, PA 15218",2663, ,,WOODSTOCK,AVE,,,PITTSBURGH,PA,15218,9,Woodland Hills,854,Swissvale  ,2024-09-13,2024-09-11,135000.0,19801,162.0,0,VALID SALE,SW,SPECIAL WARRANTY,,
3185155,0718R00345000000,"3965 CENTER AVE, ALLISON PARK, PA 15101",3965, ,,CENTER,AVE,,,ALLISON PARK,PA,15101,20,Hampton Township,914,Hampton  ,2024-09-13,2024-09-06,1.0,19801,230.0,3,LOVE AND AFFECTION SALE,FD,FIDUCIARY DEED,,
3185156,0562P00414000000,"127 PLEASANT GROVE CT, CLAIRTON, PA 15025",127, ,,PLEASANT GROVE,CT,,,CLAIRTON,PA,15025,44,West Jefferson Hills,873,Pleasant Hills  ,2024-09-24,2024-09-17,102000.0,19810,108.0,16,BUILDING NOT YET ASSESSED,SW,SPECIAL WARRANTY,,
3185157,0318M00144000000,"2204 SUPERIOR ST, BETHEL PARK, PA 15102",2204, ,,SUPERIOR,ST,,,BETHEL PARK,PA,15102,5,Bethel Park,876,Bethel Park  ,2024-09-20,2024-09-18,325000.0,19808,5.0,0,VALID SALE,DE,DEED,40.348109410516834,-80.03432734065778
3185158,0573L00019920800,"9208 SUNDANCE DR, BRIDGEVILLE, PA 15017",9208, ,,SUNDANCE,DR,,,BRIDGEVILLE,PA,15017,36,South Fayette Twp,946,South Fayette  ,2024-09-23,2024-08-06,330000.0,19808,200.0,0,VALID SALE,SW,SPECIAL WARRANTY,,
3185159,0973G00058000000,"9000 SALTSBURG RD, PITTSBURGH, PA 15239",9000, ,,SALTSBURG,RD,,,PITTSBURGH,PA,15239,31,Plum Boro,880,Plum  ,2024-09-27,2024-07-23,1.0,19815,561.0,3,LOVE AND AFFECTION SALE,QC,QUIT CLAIM,,
3185160,0021A00025000000,"0 SANFORD ST, PITTSBURGH, PA 15204",0, ,,SANFORD,ST,,,PITTSBURGH,PA,15204,47,Pittsburgh,120,20th Ward - PITTSBURGH,2024-09-25,2024-09-20,55000.0,19812,303.0,H,MULTI-PARCEL SALE,SW,SPECIAL WARRANTY,40.460260628341594,-80.04928064701635
3185161,0318B00608000000,"608 KINGSBERRY CIR, PITTSBURGH, PA 15234",608, ,,KINGSBERRY,CIR,,,PITTSBURGH,PA,15234,26,Mt Lebanon,926,Mt.Lebanon  ,2024-09-30,2024-09-30,483000.0,19817,32.0,0,VALID SALE,DE,DEED,40.3550173,-80.0413342
3185162,0030A00179000000,"0 HARCUM WAY, PITTSBURGH, PA 15203",0, ,,HARCUM,WAY,,,PITTSBURGH,PA,15203,47,Pittsburgh,116,16th Ward - PITTSBURGH,2024-10-02,2024-10-01,1.0,19820,346.0,3,LOVE AND AFFECTION SALE,FD,FIDUCIARY DEED,40.42639145,-79.97860445
3185163,0068D00122000000,"3 PARKVIEW ST, PITTSBURGH, PA 15205",3, ,,PARKVIEW,ST,,,PITTSBURGH,PA,15205,7,Carlynton,818,Crafton  ,2024-10-07,2024-10-02,50000.0,19825,19.0,0,VALID SALE,DE,DEED,,
