_id,PARID,FULL_ADDRESS,PROPERTYHOUSENUM,PROPERTYFRACTION,PROPERTYADDRESSDIR,PROPERTYADDRESSSTREET,PROPERTYADDRESSSUF,PROPERTYADDRESSUNITDESC,PROPERTYUNITNO,PROPERTYCITY,PROPERTYSTATE,PROPERTYZIP,SCHOOLCODE,SCHOOLDESC,MUNICODE,MUNIDESC,RECORDDATE,SALEDATE,PRICE,DEEDBOOK,DEEDPAGE,SALECODE,SALEDESC,INSTRTYP,INSTRTYPDESC,latitude,longitude
3185224,0090M00171000000,"4411 ARMORHILL AVE, HOMESTEAD, PA 15120",4411, ,,ARMORHILL,AVE,,,HOMESTEAD,PA,15120,47,Pittsburgh,131,31st Ward - PITTSBURGH,2024-09-26,2024-09-12,148000.0,19810,476.0,0,VALID SALE,DE,DEED,40.39694,-79.91946
3185225,0405E00110000000,"1027 STONEGATE DR, MC DONALD, PA 15057",1027, ,,STONEGATE,DR,,,MC DONALD,PA,15057,36,South Fayette Twp,946,South Fayette  ,2024-09-25,2024-09-20,945522.0,19812,140.0,99,CORRECTIVE DEED / DUPLICATE SALE,DE,DEED,40.380915,-80.182701
3185226,0619H00024000000,"3320 LENOX DR, PITTSBURGH, PA 15238",3320, ,,LENOX,DR,,,PITTSBURGH,PA,15238,17,Fox Chapel Area,917,Indiana  ,2024-09-26,2024-09-17,145000.0,19813,342.0,16,BUILDING NOT YET ASSESSED,DE,DEED,40.556236,-79.901357
3185227,0003P00067000000,"0 BROWNSVILLE RD, PITTSBURGH, PA 15203",0, ,,BROWNSVILLE,RD,,,PITTSBURGH,PA,15203,47,Pittsburgh,118,18th Ward - PITTSBURGH,2024-09-27,2024-08-29,1.0,19815,538.0,3,LOVE AND AFFECTION SALE,DE,DEED,40.431361,-79.980502
3185228,0154M00062000000,"140 CONNIE PARK DR, MC KEES ROCKS, PA 15136",140, ,,CONNIE PARK,DR,,,MC KEES ROCKS,PA,15136,24,Montour,919,Kennedy  ,2024-09-25,2024-09-19,330000.0,19812,359.0,99,CORRECTIVE DEED / DUPLICATE SALE,DE,DEED,40.46638,-80.10344
3185229,0567C00138000000,"2898 CEDAR ST, BETHEL PARK, PA 15102",2898, ,,CEDAR,ST,,,BETHEL PARK,PA,15102,5,Bethel Park,876,Bethel Park  ,2024-09-25,2024-09-23,165000.0,19812,450.0,0,VALID SALE,DE,DEED,40.324281,-80.039993
3185230,0614J00007000000,"5007 ESSEX CT, PITTSBURGH, PA 15237",5007, ,,ESSEX,CT,,,PITTSBURGH,PA,15237,28,North Hills,940,Ross  ,2024-09-25,2024-09-23,617000.0,19812,569.0,0,VALID SALE,SW,SPECIAL WARRANTY,40.55346,-79.99859
3185231,0293E00265000000,"41 RIVERSIDE CT, PITTSBURGH, PA 15238",41, ,,RIVERSIDE,CT,,,PITTSBURGH,PA,15238,17,Fox Chapel Area,806,Blawnox  ,2024-10-03,2024-10-01,25000.0,19821,58.0,14,TIME ON MARKET (INSUFF/EXCESS),SW,SPECIAL WARRANTY,40.48889,-79.86193
3185232,0006M00312240000,"1 TRIMONT LN, UNIT 2400A, PITTSBURGH, PA 15211",1, ,,TRIMONT,LN,UNIT,2400A,PITTSBURGH,PA,15211,47,Pittsburgh,119,19th Ward - PITTSBURGH,2024-10-07,2024-09-27,1279000.0,19823,433.0,H,MULTI-PARCEL SALE,GW,GENERAL WARRANTY,40.438325,-80.020091
3185233,0098R00020000000,"3319 PIEDMONT AVE, PITTSBURGH, PA 15216",3319, ,,PIEDMONT,AVE,,,PITTSBURGH,PA,15216,22,Keystone Oaks,819,Dormont  ,2024-10-08,2024-10-03,400000.0,19825,590.0,9,OTHER INVALID SALES INDICATED,SW,SPECIAL WARRANTY,40.38632,-80.04007
3185234,0369R00114000000,"708 PENNWOOD DR, PITTSBURGH, PA 15235",708, ,,PENNWOOD,DR,,,PITTSBURGH,PA,15235,30,Penn Hills Twp,934,Penn Hills  ,2024-10-01,2024-08-21,1.0,19818,444.0,3,LOVE AND AFFECTION SALE,QC,QUIT CLAIM,40.453421,-79.839806
3185235,0099R00252000000,"642 ROYCE AVE, PITTSBURGH, PA 15243",642, ,,ROYCE,AVE,,,PITTSBURGH,PA,15243,26,Mt Lebanon,926,Mt.Lebanon  ,2024-10-07,2024-09-25,330000.0,19824,242.0,37,ESTATE SALE,FD,FIDUCIARY DEED,40.386133,-80.056404
3185236,0378N00259000000,"626 ARCH ST, DUQUESNE, PA 15110",626, ,,ARCH,ST,,,DUQUESNE,PA,15110,13,Duquesne City,303,3rd Ward  - DUQUESNE,2024-10-08,2024-09-06,1.0,19826,286.0,3,LOVE AND AFFECTION SALE,DE,DEED,40.36593,-79.84587
3185237,0144P00258000000,"137 KNOX ST, BRIDGEVILLE, PA 15017",137, ,,KNOX,ST,,,BRIDGEVILLE,PA,15017,8,Chartiers Valley,941,Scott  ,2024-10-08,2024-10-02,225000.0,19826,296.0,0,VALID SALE,DE,DEED,40.375327,-80.091148
