_id,PARID,FULL_ADDRESS,PROPERTYHOUSENUM,PROPERTYFRACTION,PROPERTYADDRESSDIR,PROPERTYADDRESSSTREET,PROPERTYADDRESSSUF,PROPERTYADDRESSUNITDESC,PROPERTYUNITNO,PROPERTYCITY,PROPERTYSTATE,PROPERTYZIP,SCHOOLCODE,SCHOOLDESC,MUNICODE,MUNIDESC,RECORDDATE,SALEDATE,PRICE,DEEDBOOK,DEEDPAGE,SALECODE,SALEDESC,INSTRTYP,INSTRTYPDESC,latitude,longitude
3185131,0054E00005000000,"100 BOUNDARY ST, PITTSBURGH, PA 15207",100, ,,BOUNDARY,ST,,,PITTSBURGH,PA,15207,47,Pittsburgh,114,14th Ward - PITTSBURGH,2024-11-04,2024-09-24,1.0,19852,25.0,H,MULTI-PARCEL SALE,DE,DEED,40.428643,-79.949116,Greenfield
3185129,0036M00075000000,"1820 YOUNGER AVE, PITTSBURGH, PA 15216",1820, ,,YOUNGER,AVE,,,PITTSBURGH,PA,15216,47,Pittsburgh,120,20th Ward - PITTSBURGH,2024-05-10,2024-04-19,80000.0,19665,377.0,14,TIME ON MARKET (INSUFF/EXCESS),GW,GENERAL WARRANTY,40.40829,-80.03478,Banksville
3185133,0011J00165000A00,"51 VAN BRAAM ST, PITTSBURGH, PA 15219",51, ,,VAN BRAAM,ST,,,PITTSBURGH,PA,15219,47,Pittsburgh,101,1st Ward  - PITTSBURGH,2024-04-02,2024-02-29,46000.0,19624,355.0,GV,GOVERNMENT SALE,TS,TREASURER DEED,40.436931,-79.982537,Bluff
3185137,0214R00249000000,"405-407 CALIFORNIA AVE, PITTSBURGH, PA 15202",405, -407,,CALIFORNIA,AVE,,,PITTSBURGH,PA,15202,29,Northgate,802,Avalon  ,2024-04-09,2024-04-05,225000.0,19632,160.0,36,QUIT CLAIM,CO,CORRECTIVE DEED,40.470742,-80.036216,Marshall-Shadeland
3185143,0022R00167000000,"1100 SHEFFIELD ST, PITTSBURGH, PA 15233",1100, ,,SHEFFIELD,ST,,,PITTSBURGH,PA,15233,47,Pittsburgh,121,21st Ward - PITTSBURGH,2024-05-20,2024-04-30,1.0,19673,482.0,H,MULTI-PARCEL SALE,SW,SPECIAL WARRANTY,40.454244,-80.021242,Manchester
3185145,0119S00073000100,"5421 CARNEGIE ST, PITTSBURGH, PA 15201",5421, ,,CARNEGIE,ST,,,PITTSBURGH,PA,15201,47,Pittsburgh,110,10th Ward - PITTSBURGH,2024-09-05,2024-06-17,1.0,19791,277.0,3,LOVE AND AFFECTION SALE,QC,QUIT CLAIM,40.482814,-79.94994,Upper Lawrenceville
3185149,0028A00119000000,"261 DUNSEITH ST, PITTSBURGH, PA 15213",261, ,,DUNSEITH,ST,,,PITTSBURGH,PA,15213,47,Pittsburgh,104,4th Ward - PITTSBURGH,2024-09-12,2024-08-30,250000.0,19798,315.0,14,TIME ON MARKET (INSUFF/EXCESS),DE,DEED,40.442523,-79.965246,West Oakland
3185153,0023L00126000000,"0 FEDERAL ST, PITTSBURGH, PA 15212",0, ,,FEDERAL,ST,,,PITTSBURGH,PA,15212,47,Pittsburgh,122,22nd Ward - PITTSBURGH,2024-09-16,2024-08-28,140000.0,19802,281.0,H,MULTI-PARCEL SALE,SW,SPECIAL WARRANTY,40.446884,-80.003812,North Shore
3185152,0052E00047050200,"540 N NEVILLE ST, UNIT 502, PITTSBURGH, PA 15213",540, ,N,NEVILLE,ST,UNIT,502,PITTSBURGH,PA,15213,47,Pittsburgh,104,4th Ward - PITTSBURGH,2024-09-16,2024-09-11,379000.0,19802,268.0,0,VALID SALE,DE,DEED,40.449031,-79.948671,North Oakland
3185162,0030A00179000000,"0 HARCUM WAY, PITTSBURGH, PA 15203",0, ,,HARCUM,WAY,,,PITTSBURGH,PA,15203,47,Pittsburgh,116,16th Ward - PITTSBURGH,2024-10-02,2024-10-01,1.0,19820,346.0,3,LOVE AND AFFECTION SALE,FD,FIDUCIARY DEED,40.425814,-79.971156,South Side Flats
3185160,0021A00025000000,"0 SANFORD ST, PITTSBURGH, PA 15204",0, ,,SANFORD,ST,,,PITTSBURGH,PA,15204,47,Pittsburgh,120,20th Ward - PITTSBURGH,2024-09-25,2024-09-20,55000.0,19812,303.0,H,MULTI-PARCEL SALE,SW,SPECIAL WARRANTY,40.460103,-80.049434,Esplen
